1147808240,9.901503826015925e+30,4.862505671207115e-43,-117.80811309814453,5437381018
1148808240,9.902108288925732e+30,4.862505671207115e-43,-117.80811309814453,5437384294
1149808240,9.90271275183554e+30,4.862505671207115e-43,-117.80811309814453,5437387571
1150808240,9.903317214745347e+30,4.862505671207115e-43,-117.80811309814453,5437389210
1151808240,9.903921677655154e+30,4.862505671207115e-43,-117.80811309814453,5437392486
1152808240,9.904526140564962e+30,4.862505671207115e-43,-117.80811309814453,5437392486
1153808240,9.905130603474769e+30,4.862505671207115e-43,-117.80811309814453,5437400678
1154808240,9.905735066384576e+30,4.862505671207115e-43,-117.80811309814453,5437400678
1155808240,9.906339529294384e+30,4.862505671207115e-43,-117.80811309814453,5437399040
1156808240,9.906943992204191e+30,4.862505671207115e-43,-117.80810546875,5437407232
1157808240,9.907548455113998e+30,4.862505671207115e-43,-117.80810546875,5437405594
1158808240,9.908152918023805e+30,4.862505671207115e-43,-117.80810546875,5437403955
1159808240,9.908757380933613e+30,4.862505671207115e-43,-117.80811309814453,5437402317
1160808240,9.90936184384342e+30,4.862505671207115e-43,-117.80810546875,5437403955
1161808240,9.909966306753227e+30,4.862505671207115e-43,-117.80810546875,5437403955
1162808240,9.910570769663035e+30,4.862505671207115e-43,-117.80811309814453,5437403955
1163808240,9.911175232572842e+30,4.862505671207115e-43,-117.80811309814453,5437402317
1164808240,9.911779695482649e+30,4.862505671207115e-43,-117.80811309814453,5437407232
1165808240,9.912384158392457e+30,4.862505671207115e-43,-117.80811309814453,5437403955
1166808240,9.912988621302264e+30,4.862505671207115e-43,-117.80811309814453,5437405594
1167808240,9.913593084212071e+30,4.862505671207115e-43,-117.80811309814453,5437403955
1168808240,9.914197547121879e+30,4.862505671207115e-43,-117.80811309814453,5437405594
1169808240,9.914802010031686e+30,4.862505671207115e-43,-117.80811309814453,5437407232
1170808240,9.915406472941493e+30,4.862505671207115e-43,-117.80811309814453,5437405594
1171808240,9.9160109358513e+30,4.862505671207115e-43,-117.80811309814453,5437405594
