Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.28,4,0.110025027,0.145415153,0.131695089,0.110563023,0.096809456,0.49550713,0.503486684,0.27645777,0.227028914,7.211912772,58.9433339,58.94333072,865144700
11.29,4,0.110009862,0.145391374,0.13167131,0.110547784,0.096794217,0.495385533,0.503363725,0.276334811,0.227028914,7.210151513,58.93521848,58.93521529,865911700
11.3,4,0.109994736,0.145367648,0.131647584,0.110532584,0.096779017,0.49526414,0.503240973,0.276212059,0.227028914,7.208393218,58.9271145,58.92711131,866678700
11.31,4,0.109979644,0.145343969,0.131623905,0.110517418,0.096763851,0.49514293,0.503118407,0.276089492,0.227028914,7.206637586,58.91901916,58.91901597,867445700
11.32,4,0.109964589,0.145320341,0.131600277,0.11050229,0.096748723,0.495021901,0.502996024,0.275967109,0.227028914,7.204884581,58.91093682,58.91093363,868212600
11.33,4,0.109949573,0.145296763,0.131576699,0.1104872,0.096733633,0.494901053,0.502873825,0.275844911,0.227028914,7.203134218,58.90286289,58.90285969,868979600
11.34,4,0.10993459,0.145273233,0.131553169,0.110472144,0.096718577,0.494780384,0.502751809,0.275722895,0.227028914,7.201386459,58.89479421,58.89479101,869746600
11.35,4,0.109919644,0.145249753,0.131529689,0.110457125,0.096703558,0.494659918,0.502629999,0.275601085,0.227028914,7.19964166,58.8867416,58.88673839,870513500
11.36,4,0.109904735,0.145226325,0.131506262,0.110442143,0.096688576,0.494539664,0.502508404,0.275479489,0.227028914,7.197899937,58.8787014,58.87869819,871280400
11.37,4,0.109889862,0.145202944,0.13148288,0.110427197,0.096673631,0.494419539,0.50238694,0.275358025,0.227028914,7.196160094,58.87066341,58.87066019,872047500
11.38,4,0.109875024,0.145179612,0.131459548,0.110412287,0.09665872,0.494299638,0.502265704,0.275236789,0.227028914,7.194423517,58.86266149,58.86265827,872814500
11.39,4,0.109860224,0.145156332,0.131436268,0.110397414,0.096643847,0.494179927,0.50214466,0.275115746,0.227028914,7.192689695,58.854648,58.85464477,873581400
